1,7,10,1,9,2,0,0,0,0,0,6,9,0,0,0,0,2,0,8,7,64,1,32,0,0,0,0,0,0
2,2,10,9,4,8,0,0,0,0,0,0,9,0,8,0,0,0,4,5,8,340,1,34,0,0,0,0,0,0
3,8,7,5,1,2,0,0,0,0,0,3,9,0,0,1,0,9,2,0,0,96,1,24,0,0,0,0,0,0
4,3,1,2,5,10,0,0,0,0,0,5,6,3,0,9,0,0,0,0,3,364,1,26,0,0,0,0,0,0
5,8,10,1,4,2,0,0,0,0,0,3,4,0,6,0,0,0,8,0,9,300,1,30,0,0,0,0,0,0
6,5,3,2,4,8,0,0,0,0,0,0,4,9,1,9,0,0,6,0,0,232,1,29,0,0,0,0,0,0
7,8,7,1,6,10,0,0,0,0,0,6,0,0,0,0,9,2,6,0,3,156,1,26,0,0,0,0,0,0
8,1,10,6,9,8,0,0,0,0,0,9,0,0,0,0,9,0,5,5,7,560,1,35,0,0,0,0,0,0
9,2,7,8,1,9,0,0,0,0,0,6,2,0,0,0,0,1,2,4,0,210,1,15,0,0,0,0,0,0
10,8,7,3,6,1,0,0,0,0,0,6,0,3,0,0,2,9,6,0,0,312,1,26,0,0,0,0,0,0
11,9,1,5,2,4,0,0,0,0,0,1,3,0,4,9,0,0,0,2,0,76,1,19,0,0,0,0,0,0
12,10,5,9,1,2,0,0,0,0,0,1,4,0,0,6,0,0,0,7,8,364,1,26,0,0,0,0,0,0
13,2,8,1,4,7,0,0,0,0,0,5,5,0,4,0,0,9,7,0,0,360,1,30,0,0,0,0,0,0
14,9,5,1,3,6,0,0,0,0,0,8,0,5,0,3,8,0,0,7,0,310,1,31,0,0,0,0,0,0
15,1,7,2,9,10,0,0,0,0,0,5,2,0,0,0,0,1,0,6,4,108,1,18,0,0,0,0,0,0
16,6,10,2,9,8,0,0,0,0,0,0,9,0,0,0,9,0,6,6,6,72,1,36,0,0,0,0,0,0
17,8,2,9,10,5,0,0,0,0,0,0,7,0,0,8,0,0,4,3,2,48,1,24,0,0,0,0,0,0
18,8,7,3,1,6,0,0,0,0,0,5,0,4,0,0,5,1,4,0,0,114,1,19,0,0,0,0,0,0
19,6,7,5,4,8,0,0,0,0,0,0,0,0,9,6,3,6,2,0,0,104,1,26,0,0,0,0,0,0
20,8,7,1,4,3,0,0,0,0,0,3,0,8,1,0,0,9,1,0,0,88,1,22,0,0,0,0,0,0
21,5,9,3,1,4,0,0,0,0,0,4,0,7,7,4,0,0,0,2,0,384,1,24,0,0,0,0,0,0
22,9,4,5,7,6,0,0,0,0,0,0,0,0,9,8,2,5,0,3,0,216,1,27,0,0,0,0,0,0
23,2,7,10,1,6,0,0,0,0,0,2,4,0,0,0,1,1,0,0,7,30,1,15,0,0,0,0,0,0
24,3,9,6,1,10,0,0,0,0,0,2,0,3,0,0,8,0,0,8,9,60,1,30,0,0,0,0,0,0
25,9,8,5,3,6,0,0,0,0,0,0,0,9,0,3,4,0,9,5,0,60,1,30,0,0,0,0,0,0
26,2,6,10,1,5,0,0,0,0,0,9,5,0,0,3,2,0,0,0,5,192,1,24,0,0,0,0,0,0
27,8,2,5,4,6,0,0,0,0,0,0,2,0,3,7,6,0,1,0,0,190,1,19,0,0,0,0,0,0
28,7,6,10,2,4,0,0,0,0,0,0,4,0,6,0,8,8,0,0,8,340,1,34,0,0,0,0,0,0
29,9,6,2,7,5,0,0,0,0,0,0,3,0,0,1,5,1,0,3,0,130,1,13,0,0,0,0,0,0
30,1,5,3,4,9,0,0,0,0,0,2,0,5,5,6,0,0,0,9,0,270,1,27,0,0,0,0,0,0
31,2,5,1,9,6,0,0,0,0,0,6,5,0,0,8,5,0,0,6,0,120,1,30,0,0,0,0,0,0
32,7,3,4,9,6,0,0,0,0,0,0,0,4,7,0,5,5,0,6,0,324,1,27,0,0,0,0,0,0
33,9,7,2,6,1,0,0,0,0,0,3,4,0,0,0,9,6,0,2,0,192,1,24,0,0,0,0,0,0
34,9,4,5,1,10,0,0,0,0,0,3,0,0,8,2,0,0,0,2,2,102,1,17,0,0,0,0,0,0
35,3,7,8,9,2,0,0,0,0,0,0,9,1,0,0,0,9,2,6,0,54,1,27,0,0,0,0,0,0
36,4,5,6,8,1,0,0,0,0,0,5,0,0,6,5,4,0,6,0,0,260,1,26,0,0,0,0,0,0
37,7,1,6,5,9,0,0,0,0,0,9,0,0,0,6,9,9,0,3,0,504,1,36,0,0,0,0,0,0
38,5,2,10,6,7,0,0,0,0,0,0,2,0,0,8,1,5,0,0,5,294,1,21,0,0,0,0,0,0
39,6,7,4,10,2,0,0,0,0,0,0,2,0,1,0,8,7,0,0,8,260,1,26,0,0,0,0,0,0
40,3,9,2,1,4,0,0,0,0,0,9,3,1,8,0,0,0,0,6,0,162,1,27,0,0,0,0,0,0
41,2,8,10,4,1,0,0,0,0,0,8,7,0,9,0,0,0,7,0,1,512,1,32,0,0,0,0,0,0
42,7,6,1,2,10,0,0,0,0,0,1,1,0,0,0,3,6,0,0,6,204,1,17,0,0,0,0,0,0
43,2,7,6,3,10,0,0,0,0,0,0,5,7,0,0,4,2,0,0,9,432,1,27,0,0,0,0,0,0
44,9,1,8,3,10,0,0,0,0,0,7,0,4,0,0,0,0,4,5,5,400,1,25,0,0,0,0,0,0
45,8,5,6,9,2,0,0,0,0,0,0,1,0,0,8,5,0,4,5,0,230,1,23,0,0,0,0,0,0
46,6,1,8,5,4,0,0,0,0,0,9,0,0,3,5,7,0,2,0,0,104,1,26,0,0,0,0,0,0
47,3,10,9,5,6,0,0,0,0,0,0,0,2,0,7,7,0,0,2,3,168,1,21,0,0,0,0,0,0
48,2,6,3,9,4,0,0,0,0,0,0,9,5,1,0,7,0,0,4,0,104,1,26,0,0,0,0,0,0
49,8,1,5,2,4,0,0,0,0,0,1,4,0,8,2,0,0,5,0,0,280,1,20,0,0,0,0,0,0
50,2,4,8,7,5,0,0,0,0,0,0,2,0,7,2,0,4,8,0,0,92,1,23,0,0,0,0,0,0
51,2,1,9,5,7,0,0,0,0,0,5,7,0,0,5,0,3,0,4,0,336,1,24,0,0,0,0,0,0
52,10,5,9,2,4,0,0,0,0,0,0,6,0,1,6,0,0,0,9,6,392,1,28,0,0,0,0,0,0
53,4,9,10,1,3,0,0,0,0,0,9,0,4,5,0,0,0,0,9,2,464,1,29,0,0,0,0,0,0
54,5,6,9,3,2,0,0,0,0,0,0,2,3,0,4,1,0,0,4,0,224,1,14,0,0,0,0,0,0
55,3,10,1,4,7,0,0,0,0,0,3,0,4,8,0,0,1,0,0,2,180,1,18,0,0,0,0,0,0
56,9,2,6,5,7,0,0,0,0,0,0,9,0,0,9,5,8,0,4,0,280,1,35,0,0,0,0,0,0
57,6,5,2,9,4,0,0,0,0,0,0,1,0,2,4,6,0,0,7,0,120,1,20,0,0,0,0,0,0
58,8,6,4,1,7,0,0,0,0,0,6,0,0,5,0,4,2,4,0,0,126,1,21,0,0,0,0,0,0
59,4,9,1,10,3,0,0,0,0,0,9,0,8,9,0,0,0,0,2,8,504,1,36,0,0,0,0,0,0
60,3,1,10,8,4,0,0,0,0,0,5,0,1,7,0,0,0,6,0,3,44,1,22,0,0,0,0,0,0
61,8,6,10,1,4,0,0,0,0,0,8,0,0,8,0,2,0,4,0,8,240,1,30,0,0,0,0,0,0
62,7,1,10,8,3,0,0,0,0,0,5,0,6,0,0,0,1,4,0,9,50,1,25,0,0,0,0,0,0
63,10,8,7,2,3,0,0,0,0,0,0,7,8,0,0,0,2,5,0,7,348,1,29,0,0,0,0,0,0
64,2,8,10,7,5,0,0,0,0,0,0,6,0,0,6,0,9,9,0,9,78,1,39,0,0,0,0,0,0
65,4,8,7,9,10,0,0,0,0,0,0,0,0,8,0,0,3,2,6,9,56,1,28,0,0,0,0,0,0
66,9,1,2,4,8,0,0,0,0,0,6,3,0,9,0,0,0,1,3,0,352,1,22,0,0,0,0,0,0
67,5,3,7,9,1,0,0,0,0,0,2,0,9,0,9,0,6,0,1,0,162,1,27,0,0,0,0,0,0
68,2,6,3,4,9,0,0,0,0,0,0,4,9,2,0,7,0,0,4,0,156,1,26,0,0,0,0,0,0
69,7,4,8,2,10,0,0,0,0,0,0,9,0,4,0,0,1,7,0,6,270,1,27,0,0,0,0,0,0
70,10,6,1,8,4,0,0,0,0,0,6,0,0,5,0,1,0,9,0,1,264,1,22,0,0,0,0,0,0
71,10,7,9,6,5,0,0,0,0,0,0,0,0,0,4,7,8,0,8,2,406,1,29,0,0,0,0,0,0
72,2,10,4,6,8,0,0,0,0,0,0,9,0,6,0,1,0,6,0,1,276,1,23,0,0,0,0,0,0
73,4,3,6,10,9,0,0,0,0,0,0,0,7,8,0,4,0,0,3,6,224,1,28,0,0,0,0,0,0
74,3,7,10,4,9,0,0,0,0,0,0,0,2,1,0,0,8,0,2,3,64,1,16,0,0,0,0,0,0
75,1,10,8,2,9,0,0,0,0,0,2,4,0,0,0,0,0,1,5,3,180,1,15,0,0,0,0,0,0
76,3,6,5,10,4,0,0,0,0,0,0,0,1,2,2,1,0,0,0,3,72,1,9,0,0,0,0,0,0
77,10,5,1,4,8,0,0,0,0,0,1,0,0,9,8,0,0,7,0,5,240,1,30,0,0,0,0,0,0
78,7,4,10,3,6,0,0,0,0,0,0,0,6,7,0,5,4,0,0,1,368,1,23,0,0,0,0,0,0
79,1,6,9,5,3,0,0,0,0,0,7,0,8,0,6,1,0,0,8,0,360,1,30,0,0,0,0,0,0
80,4,1,9,3,6,0,0,0,0,0,5,0,2,2,0,2,0,0,5,0,32,1,16,0,0,0,0,0,0
