1,17,0,7
1,25,7,2
1,64,9,6
1,20,15,1
1,48,16,8
1,62,24,6
1,80,30,3
1,98,33,6
1,16,39,2
1,35,41,7
1,60,48,9
1,46,57,7
1,24,64,7
1,31,71,9
1,3,80,9
1,1,89,2
1,65,91,9
1,87,100,7
1,19,107,4
1,23,111,4
1,95,115,9
1,58,124,8
1,68,132,2
1,57,134,5
1,86,139,3
1,50,142,6
1,11,148,2
1,74,150,9
1,67,159,4
1,18,163,4
1,15,167,3
1,26,170,9
1,88,179,5
1,94,184,6
1,70,190,1
1,56,191,3
1,7,194,5
1,47,199,7
1,40,206,6
1,97,212,1
1,33,213,8
1,73,221,6
1,99,227,7
1,77,234,3
1,61,237,8
1,27,245,9
1,100,254,8
1,82,262,5
1,76,267,4
1,6,271,4
1,34,275,8
1,14,283,4
1,5,287,8
1,89,295,7
1,2,302,9
1,91,311,5
1,4,316,1
1,69,317,6
1,45,323,6
1,36,329,7
1,10,336,1
1,43,337,5
1,22,342,9
1,51,351,1
1,39,352,2
1,30,354,8
1,81,362,2
1,29,364,6
1,63,370,1
1,38,371,2
1,28,373,5
1,42,378,6
1,8,384,7
1,59,391,2
1,85,393,7
1,9,400,3
1,90,403,3
1,41,406,6
1,13,412,4
1,96,416,7
1,75,423,4
1,32,427,8
1,84,435,6
1,83,441,4
1,72,445,3
1,49,448,8
1,37,456,9
1,44,465,5
1,55,470,5
1,93,475,7
1,12,482,4
1,79,486,7
1,53,493,7
1,52,500,6
1,66,506,7
1,21,513,9
1,71,522,3
1,54,525,7
1,92,561,7
1,78,575,5
2,98,0,4
2,74,4,8
2,24,12,1
2,65,13,9
2,80,22,3
2,3,25,1
2,20,26,9
2,25,35,2
2,35,37,1
2,1,38,3
2,87,41,1
2,95,42,9
2,64,51,3
2,16,54,9
2,60,63,2
2,19,65,8
2,17,73,3
2,62,76,9
2,58,85,9
2,48,94,3
2,67,97,4
2,50,101,4
2,76,105,5
2,70,110,2
2,77,112,7
2,46,119,3
2,57,122,4
2,51,126,6
2,23,132,1
2,31,133,1
2,11,134,9
2,18,143,2
2,94,145,7
2,91,152,8
2,68,160,9
2,88,169,3
2,33,172,8
2,45,180,6
2,42,186,3
2,85,189,9
2,75,198,5
2,7,203,4
2,81,207,8
2,26,215,3
2,40,218,9
2,86,227,5
2,34,232,5
2,47,237,2
2,97,239,7
2,15,246,3
2,82,249,1
2,56,250,5
2,99,255,2
2,84,257,9
2,89,266,4
2,100,270,5
2,61,275,9
2,6,284,9
2,10,293,7
2,28,300,1
2,90,301,5
2,93,306,6
2,14,312,1
2,27,313,2
2,5,315,2
2,73,317,5
2,13,322,7
2,22,329,9
2,69,338,4
2,43,342,2
2,83,344,8
2,4,352,2
2,79,354,3
2,32,357,7
2,39,364,6
2,36,370,3
2,8,373,5
2,52,378,9
2,2,387,8
2,30,395,5
2,38,400,4
2,12,404,9
2,59,413,9
2,29,422,8
2,9,430,8
2,63,438,8
2,55,446,3
2,96,449,6
2,66,455,2
2,78,457,8
2,44,470,5
2,41,485,1
2,37,487,4
2,49,501,2
2,71,525,8
2,53,533,2
2,72,536,9
2,21,545,6
2,92,558,3
2,54,583,4
3,57,0,1
3,18,1,4
3,47,5,9
3,1,14,6
3,24,20,7
3,16,27,4
3,17,31,1
3,98,32,1
3,64,33,3
3,62,36,5
3,25,41,8
3,19,49,6
